split,model,video_id,length_frames,mode,time_seconds,peak_mem_gb,f1,status
val,stgcn_bimamba,1429910-16075041-16115817_A,12376,chunked,0.2798297979752533,0.06493854522705078,0.41292299812279293,ok
val,stgcn_bimamba,1429910-16075041-16115817_A,12376,streaming,0.05574336799327284,1.20863676071167,0.39302984585098194,ok
val,stgcn_bimamba,1429910-16075041-16115817_B,12376,chunked,0.2800433379597962,0.06483125686645508,0.3333333333333333,ok
val,stgcn_bimamba,1429910-16075041-16115817_B,12376,streaming,0.054908062040340155,1.20863676071167,0.32347517435492146,ok
val,stgcn_bimamba,1414123_A,34237,chunked,0.7703679039841518,0.08038759231567383,0.6740813636274577,ok
val,stgcn_bimamba,1414123_A,34237,streaming,0.19141200801823288,3.2601561546325684,0.6306493908272517,ok
val,stgcn_bimamba,1414123_B,34237,chunked,0.7731593379867263,0.08063173294067383,0.6835632607292833,ok
val,stgcn_bimamba,1414123_B,34237,streaming,0.1914557510172017,3.2601561546325684,0.6341082760414799,ok
val,stgcn_bimamba,1413236_A,3160,chunked,0.07349294400773942,0.05830049514770508,0.3333333333333333,ok
val,stgcn_bimamba,1413236_A,3160,streaming,0.013889510999433696,0.34490537643432617,0.33306941145420954,ok
val,stgcn_bimamba,1413236_B,3160,chunked,0.07303998398128897,0.0579533576965332,0.7022055934741793,ok
val,stgcn_bimamba,1413236_B,3160,streaming,0.013799596985336393,0.34490537643432617,0.6726177050652895,ok
val,stgcn_bimamba,1212402_A,51129,chunked,1.15549373900285,0.09281015396118164,0.6811879941898149,ok
val,stgcn_bimamba,1212402_A,51129,streaming,0.2871229389565997,4.843048572540283,0.46994514952024896,ok
val,stgcn_bimamba,1212402_B,51129,chunked,1.1442849390441552,0.09427499771118164,0.6586321209921999,ok
val,stgcn_bimamba,1212402_B,51129,streaming,0.28739438799675554,4.843048572540283,0.622673620140029,ok
val,stgcn_bilstm,1247641_A,28528,chunked,0.9777070209966041,0.1661515235900879,0.7164653871647518,ok
val,stgcn_bilstm,1247641_A,28528,streaming,0.8666040619718842,2.7313337326049805,0.7189571619950007,ok
val,stgcn_bilstm,1247641_B,28528,chunked,0.97784073400544,0.16665935516357422,0.7142443978772484,ok
val,stgcn_bilstm,1247641_B,28528,streaming,0.8668356280541047,2.7320942878723145,0.7223222653801695,ok
val,stgcn_bilstm,1582841_A,22006,chunked,0.7555774580105208,0.16105937957763672,0.3332348462465056,ok
val,stgcn_bilstm,1582841_A,22006,streaming,0.6816187860094942,2.1227283477783203,0.33328788498538076,ok
val,stgcn_bilstm,1582841_B,22006,chunked,0.7568146249977872,0.16158676147460938,0.6764393743818865,ok
val,stgcn_bilstm,1582841_B,22006,streaming,0.6801233229925856,2.1227283477783203,0.6900679525569718,ok
val,stgcn_bilstm,1429910-16075041-16115817_A,12376,chunked,0.42662845796439797,0.15386962890625,0.43724672950929233,ok
val,stgcn_bilstm,1429910-16075041-16115817_A,12376,streaming,0.3732529280241579,1.2171359062194824,0.4606365176946375,ok
val,stgcn_bilstm,1429910-16075041-16115817_B,12376,chunked,0.42665357497753575,0.1537623405456543,0.3333063973063973,ok
val,stgcn_bilstm,1429910-16075041-16115817_B,12376,streaming,0.3737532120430842,1.2171359062194824,0.3333333333333333,ok
val,stgcn_bilstm,1414123_A,34237,chunked,1.1743057320127264,0.16899538040161133,0.6798938575429285,ok
val,stgcn_bilstm,1414123_A,34237,streaming,1.0660432470031083,3.268655300140381,0.6911624745835493,ok
val,stgcn_bilstm,1414123_B,34237,chunked,1.1729549539741129,0.16923952102661133,0.6859014390526786,ok
val,stgcn_bilstm,1414123_B,34237,streaming,1.0665902380133048,3.268655300140381,0.6875647898606662,ok
val,stgcn_bilstm,1413236_A,3160,chunked,0.11102912295609713,0.14785385131835938,0.3333333333333333,ok
val,stgcn_bilstm,1413236_A,3160,streaming,0.09284602798288688,0.35340452194213867,0.3333333333333333,ok
val,stgcn_bilstm,1413236_B,3160,chunked,0.11078080500010401,0.1475067138671875,0.7181134678711794,ok
val,stgcn_bilstm,1413236_B,3160,streaming,0.0928785459836945,0.35340452194213867,0.7271927904643997,ok
val,stgcn_bilstm,1212402_A,51129,chunked,1.7528158989734948,0.18236351013183594,0.6636443180478063,ok
val,stgcn_bilstm,1212402_A,51129,streaming,1.5997524530394003,4.851547718048096,0.6514734490546833,ok
val,stgcn_bilstm,1212402_B,51129,chunked,1.7522158869542181,0.18379974365234375,0.6628227161575276,ok
val,stgcn_bilstm,1212402_B,51129,streaming,1.600565230997745,4.851547718048096,0.674502060002861,ok
val,stgcn_transformer,1247641_A,28528,chunked,0.3042713240138255,0.1230926513671875,0.705687809313852,ok
val,stgcn_transformer,1247641_A,28528,streaming,0.8022536299540661,2.769237518310547,0.3030279854432356,ok
val,stgcn_transformer,1247641_B,28528,chunked,0.3080465769744478,0.12360048294067383,0.6991112246059701,ok
val,stgcn_transformer,1247641_B,28528,streaming,0.8025923679815605,2.769998073577881,0.27072073535576097,ok
val,stgcn_transformer,1582841_A,22006,chunked,0.23579874297138304,0.11840200424194336,0.33309079884796117,ok
val,stgcn_transformer,1582841_A,22006,streaming,0.507904383004643,2.1606321334838867,0.3333333333333333,ok
val,stgcn_transformer,1582841_B,22006,chunked,0.23583269398659468,0.11852788925170898,0.6803923717502434,ok
val,stgcn_transformer,1582841_B,22006,streaming,0.5083987980033271,2.1606321334838867,0.36847618941857957,ok
val,stgcn_transformer,1429910-16075041-16115817_A,12376,chunked,0.13401439599692822,0.11081075668334961,0.4287636025124406,ok
val,stgcn_transformer,1429910-16075041-16115817_A,12376,streaming,0.17858599103055894,1.2550396919250488,0.3265592151366503,ok
val,stgcn_transformer,1429910-16075041-16115817_B,12376,chunked,0.13373445702018216,0.1107034683227539,0.3333333333333333,ok
val,stgcn_transformer,1429910-16075041-16115817_B,12376,streaming,0.17827443103305995,1.2550396919250488,0.3333333333333333,ok
val,stgcn_transformer,1414123_A,34237,chunked,0.3654297610046342,0.12688207626342773,0.6756432387333086,ok
val,stgcn_transformer,1414123_A,34237,streaming,1.1488969060010277,3.3065590858459473,0.31803879639529553,ok
val,stgcn_transformer,1414123_B,34237,chunked,0.3666268310043961,0.12712621688842773,0.6899345775051535,ok
val,stgcn_transformer,1414123_B,34237,streaming,1.1498965569771826,3.3065590858459473,0.38711760549011776,ok
val,stgcn_transformer,1413236_A,3160,chunked,0.035429991025011986,0.10411548614501953,0.3333333333333333,ok
val,stgcn_transformer,1413236_A,3160,streaming,0.02084641100373119,0.3913083076477051,0.3333333333333333,ok
val,stgcn_transformer,1413236_B,3160,chunked,0.0353681180276908,0.10376834869384766,0.7388641080149951,ok
val,stgcn_transformer,1413236_B,3160,streaming,0.02077352802734822,0.3913083076477051,0.4485955877444752,ok
val,stgcn_transformer,1212402_A,51129,chunked,0.5434926099842414,0.13930463790893555,0.6588491094112264,ok
val,stgcn_transformer,1212402_A,51129,streaming,nan,nan,nan,error: The size of tensor a (51129) must match the size of tensor b (50000) at non-singleton dimension 1
val,stgcn_transformer,1212402_B,51129,chunked,0.5439403639757074,0.13984060287475586,0.6640712959589212,ok
val,stgcn_transformer,1212402_B,51129,streaming,nan,nan,nan,error: The size of tensor a (51129) must match the size of tensor b (50000) at non-singleton dimension 1
